stroke,event_m,energy_system,focus,exercise_name,exercise_type,description,equipment,primary_muscles,sets,reps_or_time,distance_or_load,interval_or_rest_s,RPE_1_10,progression,regression,notes
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Dumbbell row (single-arm),dryland,Strengthen prime movers for stroke propulsion,dumbbell,lats;rear delts;core,3–4,8–10/side,bodyweight or moderate load,75,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Neutral spine
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Barbell back squat,dryland,Strengthen prime movers for stroke propulsion,barbell,quads;glutes;hamstrings,4–5,5–8,bodyweight or moderate load,150,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Depth parallel
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Romanian deadlift,dryland,Strengthen prime movers for stroke propulsion,barbell/dumbbell,hamstrings;glutes;erectors,3–5,6–10,bodyweight or moderate load,120,8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hinge; soft knees
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Push-up / Ring push-up,dryland,Strengthen prime movers for stroke propulsion,rings/floor,chest;triceps;core,3–5,10–20,bodyweight or moderate load,60,6–7,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hollow body
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Shoulder external rotation (band),mobility,Restore positions; improve ROM and shoulder health,light band,rotator cuff;rear delts,2–3,12–15,N/A,0,6,Longer holds or controlled range expansion,Shorter holds; reduce range,Elbow by side
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Thoracic spine opener (foam roller),mobility,Restore positions; improve ROM and shoulder health,foam roller,t-spine;scapular,2–3,60s,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Slow breathing
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Hip flexor stretch (couch),mobility,Restore positions; improve ROM and shoulder health,mat,hip flexors,2–3,60s/side,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Posterior pelvic tilt
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Underwater dolphin to 12.5m,pool,Fast streamline kick off wall to 12.5m then breakout,fins (optional),core;glutes;hip flexors,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Underwater dolphin to 12.5m'
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Breakout 25s (12.5m fast to surface),pool,Max acceleration to surface then hold speed,none,lats;shoulders;triceps,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Breakout 25s (12.5m fast to surface)'
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Catch-up with snorkel,pool,Front quadrant timing; maintain high elbow catch,snorkel,lats;shoulders;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Catch-up with snorkel'
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,6-3-6 drill,pool,"Six kicks side-balance, three strokes, six kicks other side",none,core;shoulders,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on '6-3-6 drill'
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Paddles + pull buoy (hypoxic 5:7),pool,Strengthen pull; long lines; reduced kick,paddles;pull buoy,lats;triceps;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Paddles + pull buoy (hypoxic 5:7)'
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Parachute sprint 25s,pool,Overload speed with light drag chute,drag chute,glutes;quads;hamstrings,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Parachute sprint 25s'
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Tempo Trainer 50/100 pace,pool,Stroke-rate consistency with beeper,tempo trainer,cardiorespiratory;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Tempo Trainer 50/100 pace'
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Vertical kick (dolphin→flutter),pool,"Power kicking; chest out, neutral spine",dumbbell or med ball,hip flexors;glutes;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Vertical kick (dolphin→flutter)'
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Pull-ups (strict),dryland,Strengthen prime movers for stroke propulsion,pull-up bar,lats;triceps;scapular stabilizers,4,5–8,bodyweight or moderate load,120,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Add weight over time
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Lat pulldown,dryland,Strengthen prime movers for stroke propulsion,cable machine,lats;triceps,3–4,8–12,bodyweight or moderate load,90,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Full ROM; no shrugging
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Dumbbell row (single-arm),dryland,Strengthen prime movers for stroke propulsion,dumbbell,lats;rear delts;core,3–4,8–10/side,bodyweight or moderate load,75,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Neutral spine
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Barbell back squat,dryland,Strengthen prime movers for stroke propulsion,barbell,quads;glutes;hamstrings,4–5,5–8,bodyweight or moderate load,150,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Depth parallel
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Romanian deadlift,dryland,Strengthen prime movers for stroke propulsion,barbell/dumbbell,hamstrings;glutes;erectors,3–5,6–10,bodyweight or moderate load,120,8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hinge; soft knees
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Push-up / Ring push-up,dryland,Strengthen prime movers for stroke propulsion,rings/floor,chest;triceps;core,3–5,10–20,bodyweight or moderate load,60,6–7,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hollow body
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Shoulder external rotation (band),mobility,Restore positions; improve ROM and shoulder health,light band,rotator cuff;rear delts,2–3,12–15,N/A,0,6,Longer holds or controlled range expansion,Shorter holds; reduce range,Elbow by side
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Thoracic spine opener (foam roller),mobility,Restore positions; improve ROM and shoulder health,foam roller,t-spine;scapular,2–3,60s,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Slow breathing
Freestyle,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Hip flexor stretch (couch),mobility,Restore positions; improve ROM and shoulder health,mat,hip flexors,2–3,60s/side,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Posterior pelvic tilt
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Underwater dolphin to 12.5m,pool,Fast streamline kick off wall to 12.5m then breakout,fins (optional),core;glutes;hip flexors,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Underwater dolphin to 12.5m'
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Breakout 25s (12.5m fast to surface),pool,Max acceleration to surface then hold speed,none,lats;shoulders;triceps,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Breakout 25s (12.5m fast to surface)'
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Catch-up with snorkel,pool,Front quadrant timing; maintain high elbow catch,snorkel,lats;shoulders;core,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Catch-up with snorkel'
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,6-3-6 drill,pool,"Six kicks side-balance, three strokes, six kicks other side",none,core;shoulders,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for '6-3-6 drill'
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Paddles + pull buoy (hypoxic 5:7),pool,Strengthen pull; long lines; reduced kick,paddles;pull buoy,lats;triceps;core,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Paddles + pull buoy (hypoxic 5:7)'
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Parachute sprint 25s,pool,Overload speed with light drag chute,drag chute,glutes;quads;hamstrings,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Parachute sprint 25s'
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Tempo Trainer 50/100 pace,pool,Stroke-rate consistency with beeper,tempo trainer,cardiorespiratory;core,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Tempo Trainer 50/100 pace'
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Vertical kick (dolphin→flutter),pool,"Power kicking; chest out, neutral spine",dumbbell or med ball,hip flexors;glutes;core,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Vertical kick (dolphin→flutter)'
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Pull-ups (strict),dryland,Strengthen prime movers for stroke propulsion,pull-up bar,lats;triceps;scapular stabilizers,4,5–8,bodyweight or moderate load,120,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Add weight over time
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Lat pulldown,dryland,Strengthen prime movers for stroke propulsion,cable machine,lats;triceps,3–4,8–12,bodyweight or moderate load,90,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Full ROM; no shrugging
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Dumbbell row (single-arm),dryland,Strengthen prime movers for stroke propulsion,dumbbell,lats;rear delts;core,3–4,8–10/side,bodyweight or moderate load,75,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Neutral spine
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Barbell back squat,dryland,Strengthen prime movers for stroke propulsion,barbell,quads;glutes;hamstrings,4–5,5–8,bodyweight or moderate load,150,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Depth parallel
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Romanian deadlift,dryland,Strengthen prime movers for stroke propulsion,barbell/dumbbell,hamstrings;glutes;erectors,3–5,6–10,bodyweight or moderate load,120,8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hinge; soft knees
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Push-up / Ring push-up,dryland,Strengthen prime movers for stroke propulsion,rings/floor,chest;triceps;core,3–5,10–20,bodyweight or moderate load,60,6–7,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hollow body
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Shoulder external rotation (band),mobility,Restore positions; improve ROM and shoulder health,light band,rotator cuff;rear delts,2–3,12–15,N/A,0,6,Longer holds or controlled range expansion,Shorter holds; reduce range,Elbow by side
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Thoracic spine opener (foam roller),mobility,Restore positions; improve ROM and shoulder health,foam roller,t-spine;scapular,2–3,60s,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Slow breathing
Freestyle,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Hip flexor stretch (couch),mobility,Restore positions; improve ROM and shoulder health,mat,hip flexors,2–3,60s/side,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Posterior pelvic tilt
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Underwater dolphin to 12.5m,pool,Fast streamline kick off wall to 12.5m then breakout,fins (optional),core;glutes;hip flexors,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Underwater dolphin to 12.5m'
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Breakout 25s (12.5m fast to surface),pool,Max acceleration to surface then hold speed,none,lats;shoulders;triceps,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Breakout 25s (12.5m fast to surface)'
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Catch-up with snorkel,pool,Front quadrant timing; maintain high elbow catch,snorkel,lats;shoulders;core,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Catch-up with snorkel'
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,6-3-6 drill,pool,"Six kicks side-balance, three strokes, six kicks other side",none,core;shoulders,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for '6-3-6 drill'
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Paddles + pull buoy (hypoxic 5:7),pool,Strengthen pull; long lines; reduced kick,paddles;pull buoy,lats;triceps;core,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Paddles + pull buoy (hypoxic 5:7)'
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Parachute sprint 25s,pool,Overload speed with light drag chute,drag chute,glutes;quads;hamstrings,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Parachute sprint 25s'
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Tempo Trainer 50/100 pace,pool,Stroke-rate consistency with beeper,tempo trainer,cardiorespiratory;core,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Tempo Trainer 50/100 pace'
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Vertical kick (dolphin→flutter),pool,"Power kicking; chest out, neutral spine",dumbbell or med ball,hip flexors;glutes;core,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Vertical kick (dolphin→flutter)'
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Pull-ups (strict),dryland,Strengthen prime movers for stroke propulsion,pull-up bar,lats;triceps;scapular stabilizers,4,5–8,bodyweight or moderate load,120,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Add weight over time
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Lat pulldown,dryland,Strengthen prime movers for stroke propulsion,cable machine,lats;triceps,3–4,8–12,bodyweight or moderate load,90,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Full ROM; no shrugging
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Dumbbell row (single-arm),dryland,Strengthen prime movers for stroke propulsion,dumbbell,lats;rear delts;core,3–4,8–10/side,bodyweight or moderate load,75,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Neutral spine
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Barbell back squat,dryland,Strengthen prime movers for stroke propulsion,barbell,quads;glutes;hamstrings,4–5,5–8,bodyweight or moderate load,150,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Depth parallel
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Romanian deadlift,dryland,Strengthen prime movers for stroke propulsion,barbell/dumbbell,hamstrings;glutes;erectors,3–5,6–10,bodyweight or moderate load,120,8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hinge; soft knees
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Push-up / Ring push-up,dryland,Strengthen prime movers for stroke propulsion,rings/floor,chest;triceps;core,3–5,10–20,bodyweight or moderate load,60,6–7,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hollow body
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Shoulder external rotation (band),mobility,Restore positions; improve ROM and shoulder health,light band,rotator cuff;rear delts,2–3,12–15,N/A,0,6,Longer holds or controlled range expansion,Shorter holds; reduce range,Elbow by side
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Thoracic spine opener (foam roller),mobility,Restore positions; improve ROM and shoulder health,foam roller,t-spine;scapular,2–3,60s,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Slow breathing
Freestyle,400,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;pacing;turns;underwaters;technique,Hip flexor stretch (couch),mobility,Restore positions; improve ROM and shoulder health,mat,hip flexors,2–3,60s/side,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Posterior pelvic tilt
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Underwater dolphin to 12.5m,pool,Fast streamline kick off wall to 12.5m then breakout,fins (optional),core;glutes;hip flexors,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Underwater dolphin to 12.5m'
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Breakout 25s (12.5m fast to surface),pool,Max acceleration to surface then hold speed,none,lats;shoulders;triceps,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Breakout 25s (12.5m fast to surface)'
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Catch-up with snorkel,pool,Front quadrant timing; maintain high elbow catch,snorkel,lats;shoulders;core,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Catch-up with snorkel'
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,6-3-6 drill,pool,"Six kicks side-balance, three strokes, six kicks other side",none,core;shoulders,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on '6-3-6 drill'
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Paddles + pull buoy (hypoxic 5:7),pool,Strengthen pull; long lines; reduced kick,paddles;pull buoy,lats;triceps;core,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Paddles + pull buoy (hypoxic 5:7)'
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Parachute sprint 25s,pool,Overload speed with light drag chute,drag chute,glutes;quads;hamstrings,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Parachute sprint 25s'
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Tempo Trainer 50/100 pace,pool,Stroke-rate consistency with beeper,tempo trainer,cardiorespiratory;core,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Tempo Trainer 50/100 pace'
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Vertical kick (dolphin→flutter),pool,"Power kicking; chest out, neutral spine",dumbbell or med ball,hip flexors;glutes;core,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Vertical kick (dolphin→flutter)'
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Pull-ups (strict),dryland,Strengthen prime movers for stroke propulsion,pull-up bar,lats;triceps;scapular stabilizers,4,5–8,bodyweight or moderate load,120,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Add weight over time
